id,property_description,area_jhb,listing_agency,rental_amount,street_address,occupation_date,Bedrooms_1,Bedrooms_2,bathrooms,area,Feature_1,Feature_2
20193130,"R 3 400 Gevon Court, Verona Street, Rosettenville 1 Bedroom Apartment / Flat to Rent in Rosettenville This is a one bedroom, one bathroom apartment, which includes an enclosed balcony that could be utilised as a second bedroom, available for rent in ... 1 | 1 Floor Size: 80 m²",1 Bedroom Apartment / flat to rent in Rosettenville - Johannesburg, Landstar Property Solutions,R 3 400,"Gevon Court, Verona Street, Rosettenville",,Beds,1,1 | 1, Floor Size: 80 m²,1 Bedroom Apartment / Flat to Rent in Rosettenville,80 m²
20193131,"R 1 600 38 Durban Street, Marshalltown 0.5 Bedroom Apartment / Flat to Rent in Marshalltown Get r1000 off your first months rent and get your refuse and sewer free for 6 months! ( t&c apply) A ... Available: 04 April 2019 0.5 | 1",0.5 Bedroom Apartment / flat to rent in Marshalltown - Johannesburg, Framework Property Services,R 1 600,"38 Durban Street, Marshalltown",Available: 04 April 2019,Beds,0.5,1,,0.5 Bedroom Apartment / Flat to Rent in Marshalltown,
20193132,"R 3 200 183 Jeppe Street , Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central Situated in the heart of the Jhb inner-city at 183 Jeppe Street, this recently rennovated building offers ... Available: 01 August 2018 1 | 1 Floor Size: 18 m²",1 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, AFHCO Africa Housing Company,R 3 200,"183 Jeppe Street , Johannesburg Central",Available: 01 August 2018,Beds,1,1,18 m²,1 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20193133,R 2 950 1 Bedroom Apartment / Flat to Rent in Marshalltown R1 000 OFF FIRST MONTH RENT AND 6 MONTHS FREE UTILITIES VALID TILL END OF MARCH SHORT DESCRIPTION: Clean one bedroom loft apartment in the heart of ... 1 | 1,1 Bedroom Apartment / flat to rent in Marshalltown - Johannesburg, Chorus Letting,R 2 950,,,Beds,1,1 | 1, ,1 Bedroom Apartment / Flat to Rent in Marshalltown,
20193134,"R 16 500 2 Bedroom Apartment / Flat to Rent in Melrose This fully renovated and spacious 2 bedroom, 2 bathroom apartment is available in a sought after complex set ... Available: 15 March 2019 2 | 2 | 1",2 Bedroom Apartment / flat to rent in Melrose - Johannesburg, Jawitz Johannesburg North,R 16 500,,Available: 15 March 2019,Beds,2,2,,2 Bedroom Apartment / Flat to Rent in Melrose,
20193135,"R 2 300 Morwill Court, Berg Street, Rosettenville Apartment / Flat to Rent in Rosettenville This is a Bachelor's apartment available for rent in Rosettenville. The location of the apartment is ideal as it is within close vicinity of schools ... 1 Floor Size: 60 m²", Landstar Property Solutions, Bathrooms, , ,,1, ,60 m²,,,
20193136,"R 6 500 94 Main Street, Marshalltown Apartment / Flat to Rent in Marshalltown Save R3000 on 1st Month Rent One Bed Apartment with a Huge balcony on the Main street We have SPLASHED OUT ... Available: 01 May 2019", ,  ,Apartment / Flat to Rent in Marshalltown,Save R3000 on 1st Month Rent One Bed Apartment with a Huge balcony on the Main street We have SPLASHED OUT ...,,,,,,,
20193137,"R 2 300 Morwill Court, Berg Street, Rosettenville Apartment / Flat to Rent in Rosettenville This is a Bachelor's apartment available for rent in Rosettenville. The location of the apartment is ideal as it is within close vicinity of schools ... 1 Floor Size: 60 m²", Landstar Property Solutions, Bathrooms, , ,,1, ,60 m²,,,
20193138,"R 5 000 20 Lime Street, Braamfontein Werf Apartment / Flat to Rent in Braamfontein Werf Rental is R 4800 for the full apartment and R 2500 per person sharing people sharing. A beautiful bachelor ... Available: 10 November 2018 Erf Size: 30 m²", ,  ,Apartment / Flat to Rent in Braamfontein Werf,Rental is R 4800 for the full apartment and R 2500 per person sharing people sharing. A beautiful bachelor ...,,,,,,,
20193139,"R 2 300 Morwill Court, Berg Street, Rosettenville Apartment / Flat to Rent in Rosettenville This is a Bachelor's apartment available for rent in Rosettenville. The location of the apartment is ideal as it is within close vicinity of schools ... 1 Floor Size: 60 m²", Landstar Property Solutions, Bathrooms, , ,,1, ,60 m²,,,
20193140,R 8 500 1 Bedroom Townhouse to Rent in Auckland Park This mordern fully furnished bachelor cottage consists of an open plan kitchen and spacious bedroom. This ... Available: 20 November 2018 1 | 1,1 Bedroom Townhouse to rent in Auckland Park - Johannesburg, Skye Letting,R 8 500,,Available: 20 November 2018,Beds,1,1,,1 Bedroom Townhouse to Rent in Auckland Park,
20193141,R 2 950 1 Bedroom Apartment / Flat to Rent in Marshalltown R1 000 OFF FIRST MONTH RENT AND 6 MONTHS FREE UTILITIES VALID TILL END OF MARCH SHORT DESCRIPTION: Clean one bedroom loft apartment in the heart of ... 1 | 1,1 Bedroom Apartment / flat to rent in Marshalltown - Johannesburg, Chorus Letting,R 2 950,,,Beds,1,1 | 1, ,1 Bedroom Apartment / Flat to Rent in Marshalltown,
20193142,"R 22 500 2 Bedroom Apartment / Flat to Rent in Rosebank Living is easy in these modern, state of the art apartments in the exclusive Apex building which overlooks ... Available: 11 March 2019 2 | 2 Floor Size: 68 m²",2 Bedroom Apartment / flat to rent in Rosebank - Johannesburg, Frankie Bell's Real Estate,R 22 500,,Available: 11 March 2019,Beds,2,2,68 m²,2 Bedroom Apartment / Flat to Rent in Rosebank,
20193143,"R 5 000 1 Bedroom Apartment / Flat to Rent in Montgomery Park Lovely 1 bedroom , 1 bathroom Available for rental Unit has a open plan lounge and kitchen Available 1st ... Available: 01 March 2019 1 | 1", Beds, Bathrooms,,, ,1,,,,Available: 01 March 2019,
20193144,R 38 000 3 Bedroom Apartment / Flat to Rent in Houghton Estate Set on the beautiful Jack Nicklaus signature golf course in the picturesque suburb of Houghton and directly adjacent to the soon-to-be-completed 5 star ... 3 | 3.5,3 Bedroom Apartment / flat to rent in Houghton Estate - Johannesburg, Sotheby's International Realty - Craighall,R 38 000,,,Beds,3,3 | 3.5, ,3 Bedroom Apartment / Flat to Rent in Houghton Estate,
20193145,R 5 200 1 Bedroom Apartment / Flat to Rent in Maboneng Beautiful cosy studio apartment in Maboneng to let. The apartment building is one of the residential buildings in the Maboneng Precinct offering a variety ... 1 | 1,1 Bedroom Apartment / flat to rent in Maboneng - Johannesburg, Chorus Letting,R 5 200,,,Beds,1,1 | 1, ,1 Bedroom Apartment / Flat to Rent in Maboneng,
20193146,"R 2 250 84 Klein Street, Hillbrow (jhb), Hillbrow Apartment / Flat to Rent in Hillbrow Secured flats,located in a community orientated area. All amenities such as the hospital ,police ... Available: 15 January 2019 1", Chorus Letting, Bathrooms, , ,,,,,,Available: 15 January 2019,
20193147,"R 3 500 Dorchester Mansions, 118 Van Der Merwe Street, Hillbrow 1 Bedroom Apartment / Flat to Rent in Hillbrow 1 bed unit with bathroom, Safe and Secure building situated in the heart of Hillbrow behind Cambridge Food Store, close to public transport. 1 | 1",1 Bedroom Apartment / flat to rent in Hillbrow - Johannesburg, Johannesburg Housing Company,R 3 500,"Dorchester Mansions, 118 Van Der Merwe Street, Hillbrow",,Beds,1,1 | 1, ,1 Bedroom Apartment / Flat to Rent in Hillbrow,
20193148,"R 4 500 Apartment / Flat to Rent in Fairmount Neat Compact yet spacious, all in one living with bic , call me HOME 1 Parking Bay Close to various Shuls ... Available: 15 March 2019 1 Floor Size: 80 m²", Jawitz Bedfordview, Bathrooms, , ,,,80 m²,,,Available: 15 March 2019,
20193149,"R 2 750 131 Pritchard Street Ilanga House, Johannesburg Central Apartment / Flat to Rent in Johannesburg Central 50% off first month's rent! No deposit! Situated in the heart of the Fashion precinct within the ... Available: 18 July 2018", ,  ,Apartment / Flat to Rent in Johannesburg Central,50% off first month's rent! No deposit! Situated in the heart of the Fashion precinct within the ...,,,,,,,
20193150,"R 6 500 Petula's Place, Grasvoel Crescent, Liefde En Vrede 2 Bedroom Apartment / Flat to Rent in Liefde En Vrede This is a two-bedroom, single bathroom apartment that is available for rent in Liefde En Vrede. The remainder of the apartment comprises a kitchen, a dining ... 2 | 1",2 Bedroom Apartment / flat to rent in Liefde En Vrede - Johannesburg, Landstar Property Solutions,R 6 500,"Petula's Place, Grasvoel Crescent, Liefde En Vrede",,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in Liefde En Vrede,
20193151,"R 4 122 183 Rahima Moosa Street, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central 50% OFF 1ST MONTH RENT & NO DEPOSIT Situated in the heart of the Jhb inner-city at 183 Jeppe Street, this recently rennovated building offers apartments ... 1 | 1",1 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, AFHCO Africa Housing Company,R 4 122,"183 Rahima Moosa Street, Johannesburg Central",,Beds,1,1 | 1, ,1 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20193152,R 7 500 2 Bedroom Apartment / Flat to Rent in Bruma 2 bedroom flat for Rent in Bruma near McDonalds 2 | 1,2 Bedroom Apartment / flat to rent in Bruma - Johannesburg, Trading Spaces Property Group,R 7 500,,,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in Bruma,
20193153,"R 18 000 2 Bedroom Townhouse to Rent in Oaklands This 2Bbed, 2 Bath, North Facing Townhouse is modern light and bright. Open plan living rooms lead to quiet ... Available: 14 March 2019 2 | 2 Floor Size: 116 m²",2 Bedroom Townhouse to rent in Oaklands - Johannesburg, Jawitz Johannesburg North,R 18 000,,Available: 14 March 2019,Beds,2,2,116 m²,2 Bedroom Townhouse to Rent in Oaklands,
20193154,"R 6 500 1 Bedroom Apartment / Flat to Rent in Sydenham Open plan modern kitchen,lounge and dining area. Modern full bathroom. Bedroom leading through sliders on to ... Available: 24 January 2019 1 | 1",1 Bedroom Apartment / flat to rent in Sydenham - Johannesburg, You Realty,R 6 500,,Available: 24 January 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Sydenham,
20193155,"R 4 500 Apartment / Flat to Rent in Fairmount Neat Compact yet spacious, all in one living with bic , call me HOME 1 Parking Bay Close to various Shuls ... Available: 15 March 2019 1 Floor Size: 80 m²", Jawitz Bedfordview, Bathrooms, , ,,,80 m²,,,Available: 15 March 2019,
20193156,"R 40 000 2 Bedroom Townhouse to Rent in Forest Town This cluster is in the heart of the Joburg region, close to the CBD, Rosebank and Parkhurst. It boasts 2 ... Available: 01 May 2018 2 | 2",2 Bedroom Townhouse to rent in Forest Town - Johannesburg, Engel & Volkers Hyde Park,R 40 000,,Available: 01 May 2018,Beds,2,2,,2 Bedroom Townhouse to Rent in Forest Town,
20193157,R 26 000 2 Bedroom Apartment / Flat to Rent in Rosebank Secure apartment situated in a quiet street in a heritage building which has been very stylishly modernised. ... Available: 15 April 2019 2 | 2 | 1,2 Bedroom Apartment / flat to rent in Rosebank - Johannesburg, Frankie Bell's Real Estate,R 26 000,,Available: 15 April 2019,Beds,2,2,,2 Bedroom Apartment / Flat to Rent in Rosebank,
20193158,"R 6 500 28 Stanley, Orange Street, Auckland Park 1 Bedroom Apartment / Flat to Rent in Auckland Park Rental is R 6500 for the full apartment and R 3500 per person sharing people sharing A beautiful bachelor ... Available: 10 November 2018 1 | 1 Floor Size: 30 m²",1 Bedroom Apartment / flat to rent in Auckland Park - Johannesburg, National Letting - Johannesburg,R 6 500,"28 Stanley, Orange Street, Auckland Park",Available: 10 November 2018,Beds,1,1,30 m²,1 Bedroom Apartment / Flat to Rent in Auckland Park,
20193159,R 10 500 2 Bedroom Apartment / Flat to Rent in Braamfontein this lovely sharing apartment is available immediately should you want the whole apartment (2 bedrooms) it will be R12 000 and if you want it furnished it will ... 2 | 1 Floor Size: 101 m²,2 Bedroom Apartment / flat to rent in Braamfontein - Johannesburg, RE/MAX Advantage,R 10 500,,,Beds,2,2 | 1, Floor Size: 101 m²,2 Bedroom Apartment / Flat to Rent in Braamfontein,101 m²
20193160,"R 2 900 179 Main Street, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central Full Deposit payable on 2 consecutive months!!! Secure & warm apartments for the individual or family ... Available: 24 March 2019 1 | 1",1 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, Mafadi Property Management Office,R 2 900,"179 Main Street, Johannesburg Central",Available: 24 March 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20193161,"R 2 295 30 Jules Street, Jeppestown Apartment / Flat to Rent in Jeppestown First month rent free and no lease fee !!! Masana House is a curated lifestyle, it will certainly not ... Available: 04 April 2019 1", Mafadi Property Management Office, Bathrooms, , ,,,,,,Available: 04 April 2019,
20193162,"R 13 000 1 Bedroom Apartment / Flat to Rent in Parkwood Fully furnished modern simplex This property has 6 wonderful units, luxurious with full kitchens.. All units ... Available: 08 January 2019 1 | 1",1 Bedroom Apartment / flat to rent in Parkwood - Johannesburg, RE/MAX Advantage,R 13 000,,Available: 08 January 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Parkwood,
20193163,"R 4 799 338 Cnr Bree Street and Nuggett, Johannesburg Central 2 Bedroom Apartment / Flat to Rent in Johannesburg Central Apart from reliable 24/7 security, steadfast finger access control and friendly live-in building managers ... Available: 12 April 2019 2 | 1 Floor Size: 30 m²",2 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, iThemba Property,R 4 799,"338 Cnr Bree Street and Nuggett, Johannesburg Central",Available: 12 April 2019,Beds,2,1,30 m²,2 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20193164,R 23 000 2 Bedroom Apartment / Flat to Rent in Dunkeld This 2 bedroom 2 bathroom ground floor apartment is modern and immaculate. Both bedrooms are very spacious ... Available: 18 January 2019 2 | 2.5 | 2,2 Bedroom Apartment / flat to rent in Dunkeld - Johannesburg, Dogon Group Sandton,R 23 000,,Available: 18 January 2019,Beds,2,2.5,,2 Bedroom Apartment / Flat to Rent in Dunkeld,
20193165,"R 6 500 Rock Ridge, Susanna Street, Ridgeway 2 Bedroom Apartment / Flat to Rent in Ridgeway This is a two-bedroom, single bathroom apartment that is available for rent in Ridgeway. The remainder of the apartment comprises a kitchen, a dining room and ... 2 | 1",2 Bedroom Apartment / flat to rent in Ridgeway - Johannesburg, Landstar Property Solutions,R 6 500,"Rock Ridge, Susanna Street, Ridgeway",,Beds,2,2 | 1, ,2 Bedroom Apartment / Flat to Rent in Ridgeway,
20193166,"R 6 000 1 Bedroom Apartment / Flat to Rent in Auckland Park 1 bedroom, 1 bathroom, lounge and kitchen. Next to the swimming pool, balcony. Close to uj, milpark, afda ... Available: 01 February 2019 1 | 1",1 Bedroom Apartment / flat to rent in Auckland Park - Johannesburg, Skye Letting,R 6 000,,Available: 01 February 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Auckland Park,
20193167,"R 4 850 Rahima Moosa Jeppe Post Office, Johannesburg Central 1 Bedroom Apartment / Flat to Rent in Johannesburg Central 1st 30 APPLICANTS STAND A CHANCE TO WIN R2000 FREE ELECTRICITY, AND 1st 100 APPLICANTS STAND A CHANCE TO WIN ... Available: 01 September 2018 1 | 1",1 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, AFHCO Africa Housing Company,R 4 850,"Rahima Moosa Jeppe Post Office, Johannesburg Central",Available: 01 September 2018,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20193168,"R 5 100 32 Viljoen Street, Lorentzville 2 Bedroom Apartment / Flat to Rent in Lorentzville This 2 bedroom unit is situated in a secure building Parking available on request .There is wooden flooring ... Available: 11 April 2019 2 | 1",2 Bedroom Apartment / flat to rent in Lorentzville - Johannesburg, Framework Property Services,R 5 100,"32 Viljoen Street, Lorentzville",Available: 11 April 2019,Beds,2,1,,2 Bedroom Apartment / Flat to Rent in Lorentzville,
20193169,"R 5 200 1 Bedroom Apartment / Flat to Rent in Auckland Park Bachelor flat with 1 room, kitchen and bathroom. Close to uj, milpark, lancet, afda. Safe ans secure. Available: 01 February 2019 1 | 1",1 Bedroom Apartment / flat to rent in Auckland Park - Johannesburg, Skye Letting,R 5 200,,Available: 01 February 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Auckland Park,
20193170,R 55 000 4 Bedroom Townhouse to Rent in Dunkeld West This luxurious double storey cluster home offers 3 large flowing reception rooms that open onto a large ... Available: 14 March 2019 4 | 3 | 3,4 Bedroom Townhouse to rent in Dunkeld West - Johannesburg, Jawitz Johannesburg North,R 55 000,,Available: 14 March 2019,Beds,4,3,,4 Bedroom Townhouse to Rent in Dunkeld West,
20193171,"R 9 300 2 Bedroom Townhouse to Rent in Auckland Park 2 bedroom, 2 bathroom unit, with a lounge and kitchen, covered parking. Close to uj, lancet, milpark, sabc ... Available: 20 November 2018 2 | 2",2 Bedroom Townhouse to rent in Auckland Park - Johannesburg, Skye Letting,R 9 300,,Available: 20 November 2018,Beds,2,2,,2 Bedroom Townhouse to Rent in Auckland Park,
20193172,"R 17 000 1 Bedroom Apartment / Flat to Rent in Rosebank Fully furnished 1 bedroom 1 bathroom en-suite unit, in the heart of Rosebank. Open planned lounge and dining ... Available: 31 October 2018 1 | 1",1 Bedroom Apartment / flat to rent in Rosebank - Johannesburg, Chas Everitt Hyde Park,R 17 000,,Available: 31 October 2018,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Rosebank,
20193173,R 7 000 1 Bedroom Apartment / Flat to Rent in Parktown In a secure complex is this middle floor 1 bed x 1 bathroom (Shower only) upstairs Great walk in ... Available: 02 April 2019 1 | 1 | 1, Beds, Bathrooms,,, ,1,,,,Available: 02 April 2019,
20193174,"POA 356 Louis Botha Avenue, Maryvale Apartment / Flat to Rent in Maryvale Rooms to let near Boston College and on the main road on Louis Botha Shared ablutions Available: 05 March 2019", ,Apartment / flat to rent in Maryvale - Johannesburg,Available: 05 March 2019,,,,,,,,
20193175,"R 4 150 Lily Avenue, Berea 1 Bedroom Apartment / Flat to Rent in Berea 1 spacious bedroom (bic's) lounge, tiled bathroom, open plan fitted kitchen, neat tiled floors, secure ... Available: 27 March 2019 1 | 2", Beds, Bathrooms,,, ,2,,,,Available: 27 March 2019,
20193176,"R 6 500 1 Bedroom Apartment / Flat to Rent in Auckland Park 1 bedroom apartment to let in auckland park. 1 bedroom and 1 bathroom, open plan kitchen and lounge. Close to ... Available: 01 February 2019 1 | 1",1 Bedroom Apartment / flat to rent in Auckland Park - Johannesburg, Skye Letting,R 6 500,,Available: 01 February 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Auckland Park,
20193177,"R 30 000 2 Bedroom Apartment / Flat to Rent in Melrose Arch Live in style! 2 lovely en-suite bedrooms. This two storey apartment includes environmentally friendly technology, LED lighting, CCTV and access control room ... 2 | 2.5 Floor Size: 118 m²",2 Bedroom Apartment / flat to rent in Melrose Arch - Johannesburg, Vered Estates,R 30 000,,,Beds,2,2 | 2.5, Floor Size: 118 m²,2 Bedroom Apartment / Flat to Rent in Melrose Arch,118 m²
20193178,"R 4 050 16 Frederick Street, Johannesburg Central 0.5 Bedroom Apartment / Flat to Rent in Johannesburg Central Layout and specifics : This is a newly renovated, clean and secure unit . The building is located in a ... Available: 05 April 2019 0.5 | 1",0.5 Bedroom Apartment / flat to rent in Johannesburg Central - Johannesburg, Framework Property Services,R 4 050,"16 Frederick Street, Johannesburg Central",Available: 05 April 2019,Beds,0.5,1,,0.5 Bedroom Apartment / Flat to Rent in Johannesburg Central,
20193179,"R 36 500 2 Bedroom Apartment / Flat to Rent in Melrose North The right address. This fully furnished, lock-up and go apartment. 2 beautiful bedrooms and 2 bathrooms - Main bedroom en-suite. Undercover secure parking. ... 2 | 2 Floor Size: 112 m²",2 Bedroom Apartment / flat to rent in Melrose North - Johannesburg, Vered Estates,R 36 500,,,Beds,2,2 | 2, Floor Size: 112 m²,2 Bedroom Apartment / Flat to Rent in Melrose North,112 m²
20193180,"R 6 500 1 Bedroom Apartment / Flat to Rent in Auckland Park 1 bedroom apartment to let in auckland park. 1 bedroom and 1 bathroom, open plan kitchen and lounge. Close to ... Available: 01 February 2019 1 | 1",1 Bedroom Apartment / flat to rent in Auckland Park - Johannesburg, Skye Letting,R 6 500,,Available: 01 February 2019,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Auckland Park,
20193181,R 20 000 3 Bedroom Apartment / Flat to Rent in Dunkeld West Fabulous 3 bedroom 2 bathroom north facing apartment available for rent. Tasteful finishes throughout and ... Available: 15 March 2019 3 | 2 | 2,3 Bedroom Apartment / flat to rent in Dunkeld West - Johannesburg, Jawitz Johannesburg North,R 20 000,,Available: 15 March 2019,Beds,3,2,,3 Bedroom Apartment / Flat to Rent in Dunkeld West,
20193182,"R 22 000 1 Bedroom Apartment / Flat to Rent in Houghton Estate This lovely spacious unit is on a shared property with a bigger home, fully furnished with your own garage and private entrance area. It has a lovely modern ... 1 | 1.5 | 1",1 Bedroom Apartment / flat to rent in Houghton Estate - Johannesburg, Engel & Volkers Hyde Park,R 22 000,,,Beds,1,1 | 1.5 | 1, ,1 Bedroom Apartment / Flat to Rent in Houghton Estate,
20193183,"R 3 900 Tribeck Court, Main Street, Rosettenville 2 Bedroom Apartment / Flat to Rent in Rosettenville This is a two bedroom apartment with a bathroom, lounge and kitchen that located in Rosettenville. The bathroom includes a bath, toilet and basin. No ... 2 | 1 Floor Size: 65 m²",2 Bedroom Apartment / flat to rent in Rosettenville - Johannesburg, Landstar Property Solutions,R 3 900,"Tribeck Court, Main Street, Rosettenville",,Beds,2,2 | 1, Floor Size: 65 m²,2 Bedroom Apartment / Flat to Rent in Rosettenville,65 m²
20193184,"R 5 500 1 Bedroom Apartment / Flat to Rent in Lyndhurst A lovely self-contained studio apartment which consists of the kitchen, full bathroom, living room and ... Available: 11 December 2018 1 | 1", Beds, Bathrooms,,, ,1,,,,Available: 11 December 2018,
20193185,R 6 500 1 Bedroom Apartment / Flat to Rent in Bruma No facility for washing machine inside the apartment but a laundry on two floors. Open plan kitchen and ... Available: 18 January 2019 1 | 1, Beds, Bathrooms,,, ,1,,,,Available: 18 January 2019,
20193186,"R 7 455 3 Bedroom Townhouse to Rent in Ormonde This is a 3 bedroom, 1 bathroom single storey unit with open plan kitchen and lounge. There is a garden ... Available: 03 April 2019 3 | 1",3 Bedroom Townhouse to rent in Ormonde - Johannesburg, Natrent Rentals,R 7 455,,Available: 03 April 2019,Beds,3,1,,3 Bedroom Townhouse to Rent in Ormonde,
20193187,"R 3 900 Tribeck Court, Main Street, Rosettenville 2 Bedroom Apartment / Flat to Rent in Rosettenville This is a two bedroom flat with a bathroom, lounge and kitchen that located in Rosettenville. The bathroom includes a bath, toilet and basin. No parking ... 2 | 1 Floor Size: 65 m²",2 Bedroom Apartment / flat to rent in Rosettenville - Johannesburg, Landstar Property Solutions,R 3 900,"Tribeck Court, Main Street, Rosettenville",,Beds,2,2 | 1, Floor Size: 65 m²,2 Bedroom Apartment / Flat to Rent in Rosettenville,65 m²
20193188,"R 6 000 1 Bedroom Apartment / Flat to Rent in Montgomery Park Immaculate , spacious one bedroom ground floor apartment available to rent in the leafy suburb of Montgomery ... Available: 01 August 2018 1 | 1 | 1",1 Bedroom Apartment / flat to rent in Montgomery Park - Johannesburg, Be Prop,R 6 000,,Available: 01 August 2018,Beds,1,1,,1 Bedroom Apartment / Flat to Rent in Montgomery Park,
